year,issue_d_time,final_d_time,emp_length_int,home_ownership,income_category,annual_inc,income_cat,loan_amount,term,purpose,interest_payments,loan_condition_cat,interest_rate,grade,dti,total_pymnt,total_rec_prncp,recoveries,installment,region
2013,122,487,5.0,RENT,Low,84000,1,24000,60months,debt_consolidation,Low,0,10.99,B,16.26,2644678075,24000.0,0,521.7,leinster
2013,122,0,10.0,MORTGAGE,Low,42000,1,8875,36months,credit_card,Low,0,10.64,B,13.09,8092,6651.01,0,289.05,munster
2010,1157,791,10.0,MORTGAGE,Low,75000,1,16000,36months,debt_consolidation,Low,0,6.17,A,19.5,10732,9775.0,0,298.13,leinster
2008,2132,1767,4.0,RENT,Low,30000,1,12000,36months,debt_consolidation,Low,0,10.39,B,0.0,14018,12000.0,0,389.41,Northern-Irl
2010,1371,1492,6.0,RENT,Low,43200,1,8600,36months,debt_consolidation,Low,0,11.36,B,19.11,9843,8600.0,0,283.04,Northern-Irl
2011,762,610,4.0,RENT,Low,51000,1,15000,60months,credit_card,High,0,19.91,E,20.85,2105141025,15000.0,0,396.66,Northern-Irl
2013,153,518,5.0,MORTGAGE,Low,69000,1,30750,60months,home_improvement,High,0,21.15,E,13.6,36900000000,30750.0,0,834.49,ulster
2011,1096,852,0.5,RENT,Low,38088,1,10000,60months,debt_consolidation,High,1,18.99,F,16.76,8663,3822.59,883,259.36,Northern-Irl
2013,122,610,2.0,RENT,Low,53897,1,6500,36months,debt_consolidation,Low,0,12.35,B,18.72,6990000000,6500.0,0,216.99,Northern-Irl
2013,92,518,8.0,MORTGAGE,Low,33000,1,9500,36months,credit_card,Low,0,10.99,B,14.25,1027544478,9500.0,0,310.98,ulster
2008,2071,1706,1.0,RENT,Low,35000,1,3500,36months,other,Low,0,11.66,C,10.15,3272,2749.99,0,90.9,ulster
2013,153,549,10.0,MORTGAGE,Low,70000,1,20400,60months,debt_consolidation,High,0,15.22,C,8.93,2308020159,20400.0,0,487.68,cannught
2013,31,306,1.0,RENT,Medium,150000,2,15400,36months,credit_card,Low,0,9.67,B,16.31,16862,15400.0,0,494.54,ulster
2013,61,549,10.0,MORTGAGE,Low,69000,1,30000,60months,debt_consolidation,High,0,19.2,D,11.32,3370035834,30000.0,0,781.53,Northern-Irl
2007,2284,2922,0.5,OWN,Low,31000,1,4275,36months,other,Low,0,10.28,C,24.81,4382,4275.0,0,138.51,leinster
2013,122,0,10.0,MORTGAGE,Low,60000,1,10000,36months,debt_consolidation,Low,0,9.71,B,6.23,8995,7519.28,0,321.32,ulster
2013,92,306,6.0,MORTGAGE,Low,30000,1,10000,36months,debt_consolidation,Low,0,12.99,B,20.84,11493,10000.0,0,336.9,leinster
2013,92,0,3.0,RENT,Medium,135000,2,35000,60months,debt_consolidation,High,0,22.4,E,12.39,26310,11146.14,0,974.64,ulster
2013,122,122,10.0,MORTGAGE,High,283311,3,18000,36months,debt_consolidation,Low,0,10.64,B,9.99,2075878466,18000.0,0,586.24,ulster
2010,1157,791,2.0,RENT,Medium,115000,2,20000,36months,credit_card,High,0,18.17,F,22.97,26081,20000.0,0,724.76,munster
2013,61,0,8.0,RENT,Low,50000,1,8325,36months,debt_consolidation,Low,0,12.99,B,14.8,7292,5680.61,0,280.47,leinster
2013,122,92,6.0,OWN,Low,52000,1,22750,36months,debt_consolidation,Low,0,12.35,B,14.84,2684712694,22750.0,0,759.44,ulster
2010,1341,1370,7.0,MORTGAGE,Low,72000,1,23500,36months,debt_consolidation,High,0,18.67,F,22.63,29740,23500.0,0,857.53,leinster
2013,31,365,5.0,MORTGAGE,Low,58000,1,16750,36months,debt_consolidation,Low,0,9.67,B,24.11,183281425,16750.0,0,537.89,Northern-Irl
2013,122,487,6.0,MORTGAGE,Low,80000,1,9600,36months,credit_card,High,0,14.33,C,13.61,10800000000,9600.0,0,329.65,munster
2013,153,31,7.0,MORTGAGE,Low,40000,1,5000,36months,credit_card,Low,0,8.9,A,15.75,4444,3770.23,0,158.77,Northern-Irl
2009,1826,2525,7.0,MORTGAGE,Low,69000,1,15000,36months,credit_card,Low,0,11.58,B,21.86,15145,15000.0,0,495.21,cannught
2010,1280,1736,5.0,RENT,Low,34500,1,8400,60months,other,Low,0,11.49,B,24.35,9012,8400.0,0,184.7,Northern-Irl
2013,61,0,10.0,MORTGAGE,Low,44000,1,17000,60months,debt_consolidation,High,0,19.2,D,13.72,11162,5199.73,0,442.87,cannught
2008,1948,1553,5.0,RENT,Low,35000,1,4250,36months,debt_consolidation,High,0,16.96,F,29.42,4891,3800.0,0,135.41,leinster
2013,31,31,0.5,RENT,Low,28000,1,8325,36months,credit_card,Low,0,10.99,B,23.06,9597,8325.0,0,272.52,Northern-Irl
2011,884,761,2.0,MORTGAGE,Low,80000,1,10000,36months,debt_consolidation,Low,1,10.99,B,23.46,8509,6863.39,0,327.34,ulster
2007,2345,2678,1.0,RENT,Low,32000,1,13000,36months,other,High,1,17.22,G,15.98,6043,3946.17,0,464.95,leinster
2011,1006,1340,8.0,MORTGAGE,Low,33996,1,4000,36months,home_improvement,High,0,14.91,D,16.17,4520,3999.99,0,138.49,Northern-Irl
2013,61,122,4.0,MORTGAGE,Medium,115000,2,21000,60months,debt_consolidation,High,0,21.7,E,16.62,28600000000,21000.0,0,576.43,ulster
2013,92,0,10.0,MORTGAGE,Medium,155000,2,10000,36months,debt_consolidation,High,0,15.1,C,11.77,9372,7063.37,0,347.15,ulster
2013,122,671,10.0,RENT,Medium,112000,2,15000,60months,debt_consolidation,Low,0,9.99,B,5.19,1572407721,15000.0,0,318.64,Northern-Irl
2011,792,306,6.0,RENT,Low,35004,1,17500,60months,debt_consolidation,High,0,19.03,E,11.59,2588028837,17500.0,0,454.25,Northern-Irl
2013,92,487,1.0,MORTGAGE,Low,72000,1,32350,60months,credit_card,High,1,21.0,E,19.73,9475,2722.42,1703,875.18,cannught
2013,92,31,10.0,RENT,Low,75000,1,7000,60months,debt_consolidation,High,0,21.7,E,14.93,4996,2152.11,0,192.15,ulster
2010,1157,1401,7.0,MORTGAGE,Low,45000,1,4000,36months,other,Low,0,6.17,A,13.07,4253,4000.0,0,122.0,leinster
2011,1037,1583,10.0,MORTGAGE,Medium,127000,2,6000,36months,home_improvement,Low,0,5.42,A,1.9,6153,6000.0,0,180.96,munster
2013,61,31,10.0,MORTGAGE,Low,72000,1,19750,36months,debt_consolidation,High,0,21.7,E,8.68,18780,12317.15,0,751.2,ulster
2013,92,0,10.0,MORTGAGE,Low,65000,1,20000,60months,credit_card,High,0,16.2,C,23.46,13189,7060.76,0,488.49,munster
2010,1461,1217,5.0,RENT,Low,32200,1,6500,36months,debt_consolidation,Low,0,11.83,B,22.25,7729,6500.0,0,215.38,Northern-Irl
2013,122,365,5.0,RENT,Low,50000,1,6500,36months,credit_card,Low,0,13.05,B,24.03,74400000000,6500.0,0,219.17,munster
2011,1037,1187,9.0,OWN,Low,60000,1,10500,60months,small_business,High,1,16.02,D,3.96,5314,2465.48,471,255.46,ulster
2013,92,0,4.0,MORTGAGE,Low,90000,1,19200,60months,debt_consolidation,High,0,14.3,C,20.0,16243,11248.83,0,449.75,munster
2013,31,396,10.0,OWN,Low,70000,1,6400,36months,debt_consolidation,High,0,15.61,C,33.8,7291,6399.95,0,223.78,Northern-Irl
2011,945,579,1.0,RENT,Low,55000,1,8000,36months,wedding,Low,0,5.42,A,4.69,8685020039,8000.0,0,241.28,cannught
2011,762,822,10.0,RENT,Low,45000,1,22500,60months,debt_consolidation,High,0,14.27,C,20.56,27607,22500.0,0,526.7,leinster
2011,1037,640,8.0,MORTGAGE,Low,30996,1,8875,36months,debt_consolidation,Low,0,7.66,A,29.07,9960208676,8875.0,0,276.73,cannught
2013,92,365,10.0,MORTGAGE,Medium,140000,2,28000,36months,credit_card,High,0,15.61,C,14.87,32575,28000.0,0,979.02,munster
2013,92,31,10.0,MORTGAGE,Low,45000,1,16000,60months,debt_consolidation,High,0,15.61,C,31.12,10030,5454.36,0,385.79,leinster
2013,153,31,10.0,RENT,Low,72000,1,9600,36months,debt_consolidation,Low,0,9.71,B,5.15,8637,7219.82,0,308.46,ulster
2013,92,0,6.0,RENT,Low,34000,1,11475,60months,debt_consolidation,High,0,18.55,D,31.98,7961,3898.89,0,294.84,leinster
2013,92,426,8.0,MORTGAGE,Low,50000,1,13100,60months,debt_consolidation,High,0,14.3,C,15.65,15000000000,13100.0,0,306.86,leinster
2013,122,0,10.0,MORTGAGE,Low,48500,1,4750,36months,debt_consolidation,Low,0,10.99,B,20.12,4197,3411.49,0,155.49,ulster
2013,153,334,10.0,MORTGAGE,Low,44000,1,8000,36months,credit_card,Low,0,10.64,B,15.05,8998392668,8000.0,0,260.55,Northern-Irl
2013,61,153,1.0,RENT,Low,65000,1,16000,36months,debt_consolidation,High,1,13.67,B,12.75,11430,8534.35,0,544.29,munster
2011,1065,699,5.0,RENT,Low,53000,1,25000,36months,small_business,High,0,13.43,C,6.2,30499,25000.0,0,847.54,Northern-Irl
2013,92,0,10.0,RENT,Low,100000,1,10000,36months,debt_consolidation,Low,0,9.99,B,4.38,8707,7210.85,0,322.63,Northern-Irl
2011,1096,699,1.0,RENT,Medium,150000,2,5000,36months,other,High,0,14.91,D,0.33,6229,5000.0,0,173.11,Northern-Irl
2009,1736,1370,4.0,RENT,Low,27000,1,7000,36months,debt_consolidation,High,0,13.79,C,21.91,8587,7000.0,0,238.53,Northern-Irl
2013,92,92,10.0,OWN,Low,60320,1,11200,36months,debt_consolidation,Low,0,11.99,B,14.82,1314669001,11200.0,0,371.95,cannught
2010,1249,883,3.0,RENT,Low,31200,1,3000,36months,debt_consolidation,Low,0,11.86,B,23.81,3577,3000.0,0,99.45,cannught
2013,153,31,10.0,RENT,Low,68000,1,14000,36months,debt_consolidation,High,0,14.33,C,18.46,17108,14000.0,0,480.74,Northern-Irl
2013,92,0,3.0,RENT,Low,53600,1,12000,60months,debt_consolidation,High,0,15.1,C,21.27,7725,4312.23,0,286.11,Northern-Irl
2013,31,334,3.0,MORTGAGE,Low,70000,1,20000,60months,major_purchase,Low,0,12.85,B,18.47,2271784222,20000.0,0,453.53,Northern-Irl
2013,153,0,10.0,MORTGAGE,Medium,125000,2,16000,36months,debt_consolidation,Low,0,10.64,B,24.74,15112,12478.47,0,521.1,ulster
2009,1706,1309,9.0,MORTGAGE,Low,57500,1,7000,36months,debt_consolidation,Low,0,9.32,A,22.04,8047,7000.0,0,223.63,leinster
2013,61,31,7.0,MORTGAGE,Low,90000,1,28000,36months,debt_consolidation,Low,0,11.99,B,17.77,23246,18353.57,0,929.87,leinster
2013,92,0,10.0,MORTGAGE,Low,45000,1,20050,60months,debt_consolidation,High,0,17.1,C,24.16,13483,6976.17,0,499.38,cannught
2009,1553,1187,1.0,MORTGAGE,Low,65000,1,10000,36months,other,Low,0,8.59,A,14.99,11380,10000.0,0,316.11,Northern-Irl
2011,762,396,0.5,RENT,Low,25000,1,8500,36months,credit_card,Low,0,11.71,B,12.19,1012220861,8500.0,0,281.15,cannught
2013,122,31,10.0,RENT,Low,65000,1,29175,60months,credit_card,High,0,20.2,D,25.66,20957,9643.99,0,776.21,munster
2013,31,487,0.5,RENT,Low,93300,1,12000,36months,debt_consolidation,Low,0,7.62,A,22.19,1255565199,12000.0,0,373.94,leinster
2013,92,0,1.0,MORTGAGE,Low,50000,1,16000,36months,debt_consolidation,Low,0,12.99,B,15.92,14552,11400.37,0,539.03,ulster
2009,1553,1553,1.0,MORTGAGE,Low,60000,1,10000,36months,small_business,High,1,14.61,D,14.32,8115,5875.05,190,344.76,cannught
2011,823,914,5.0,MORTGAGE,Low,69600,1,4800,36months,home_improvement,Low,1,12.42,B,15.36,3339,2443.06,135,160.4,leinster
2010,1157,1340,10.0,RENT,Low,65000,1,12800,36months,debt_consolidation,High,0,15.2,D,10.02,15031,12800.0,0,444.98,Northern-Irl
2013,61,0,7.0,MORTGAGE,Low,80000,1,4000,36months,debt_consolidation,Low,0,10.99,B,11.57,3403,2753.21,0,130.94,ulster
2013,122,0,8.0,RENT,Low,40000,1,9925,36months,debt_consolidation,Low,0,12.35,B,14.01,9276,7392.58,0,331.32,leinster
2008,1887,1795,8.0,OWN,Low,50508,1,7500,36months,wedding,Low,0,10.83,B,14.59,8720,7499.99,0,244.94,munster
2013,31,0,10.0,OWN,Low,44000,1,14975,60months,debt_consolidation,High,0,21.7,E,20.1,10274,4383.11,0,411.05,cannught
2011,976,0,10.0,MORTGAGE,Low,93233,1,20000,60months,debt_consolidation,Low,0,11.99,B,16.5,24430,17819.47,0,444.79,leinster
2013,61,0,3.0,RENT,Low,58000,1,12000,36months,credit_card,Low,0,8.9,A,27.08,9526,7989.29,0,381.04,Northern-Irl
2011,945,1248,10.0,MORTGAGE,Low,61500,1,6000,60months,other,High,0,15.99,D,17.46,7029,6000.0,0,145.88,munster
2011,1096,730,5.0,RENT,Low,40800,1,5000,36months,debt_consolidation,Low,1,6.54,A,7.15,5473,4934.12,6,153.34,ulster
2013,122,0,10.0,MORTGAGE,Low,74000,1,32875,36months,credit_card,High,0,15.22,C,18.13,31992,24219.24,0,1143.17,cannught
2009,1492,2101,0.5,RENT,Low,42000,1,5000,36months,other,Low,1,13.22,C,13.49,5312,462.81,4637,169.01,cannught
2011,915,549,3.0,MORTGAGE,Low,40000,1,5000,36months,other,Low,0,5.42,A,2.13,5427934319,5000.0,0,150.8,cannught
2013,31,457,10.0,MORTGAGE,Low,65000,1,15000,36months,credit_card,Low,0,9.67,B,12.13,1607505781,15000.0,0,481.69,Northern-Irl
2013,122,306,6.0,OWN,Medium,120000,2,8400,36months,home_improvement,High,0,14.3,C,25.81,9795,8400.0,0,288.32,Northern-Irl
2013,61,0,2.0,RENT,Low,40000,1,8000,36months,other,High,0,21.7,E,16.14,7911,5239.19,0,304.29,ulster
2011,1065,334,2.0,RENT,Low,93000,1,35000,60months,other,High,0,15.65,D,17.61,4984463262,35000.02,0,844.64,ulster
2013,92,0,3.0,MORTGAGE,Low,70000,1,15000,36months,debt_consolidation,Low,0,12.99,B,9.09,13644,10688.76,0,505.34,ulster
2010,1310,1675,10.0,MORTGAGE,Low,43700,1,10750,60months,debt_consolidation,High,0,15.58,D,23.7,12315,10750.0,0,259.03,leinster
2013,61,184,10.0,MORTGAGE,Low,40000,1,4000,36months,debt_consolidation,High,0,15.61,C,28.35,482644902,4000.0,0,139.86,ulster
2013,31,0,7.0,RENT,Medium,170000,2,20000,36months,debt_consolidation,Low,0,7.9,A,2.34,15645,13380.61,0,625.81,ulster
2013,153,396,10.0,MORTGAGE,Low,49000,1,18000,36months,debt_consolidation,High,0,15.22,C,28.44,21103,18000.0,0,625.92,leinster
2011,1096,1309,5.0,RENT,Low,69350,1,10800,36months,house,Low,0,5.42,A,7.68,11426,10800.0,0,325.73,Northern-Irl
2009,1583,1948,2.0,MORTGAGE,Low,52000,1,15250,36months,home_improvement,Low,1,12.53,B,10.96,6142,4446.75,0,510.37,leinster
2008,2101,1736,3.0,MORTGAGE,Medium,145000,2,7500,36months,medical,Low,0,10.08,B,5.53,6396,5500.0,0,177.68,ulster
2013,31,31,2.0,MORTGAGE,Low,60000,1,10000,36months,debt_consolidation,Low,0,7.9,A,8.0,7509,6400.3,0,312.91,leinster
2009,1492,1767,1.0,RENT,Low,52800,1,8000,36months,debt_consolidation,Low,0,12.87,C,17.16,8941,8000.0,0,269.07,munster
2013,31,31,6.0,MORTGAGE,Low,78000,1,21000,60months,debt_consolidation,High,0,18.25,D,29.63,12867,6221.95,0,536.13,Northern-Irl
2010,1341,1614,2.0,RENT,Low,60000,1,15000,36months,debt_consolidation,Low,0,10.99,B,6.94,16615,15000.0,0,491.01,ulster
2011,1006,214,6.0,MORTGAGE,Low,99800,1,25000,60months,debt_consolidation,High,0,17.88,E,8.21,3752816483,25000.0,0,633.21,cannught
2013,31,640,7.0,MORTGAGE,Low,75000,1,16425,36months,credit_card,High,0,14.3,C,24.13,17181,16425.0,0,563.77,munster
2011,1065,1430,8.0,MORTGAGE,Low,55400,1,11000,36months,credit_card,Low,0,7.29,A,11.5,11641,11000.0,0,341.11,cannught
2013,122,0,10.0,RENT,Low,46000,1,10175,36months,debt_consolidation,High,0,15.88,C,17.11,9995,7478.38,0,357.13,leinster
2011,792,31,5.0,RENT,Low,27000,1,13500,60months,debt_consolidation,Low,0,7.9,A,17.33,13338,10579.88,0,273.09,leinster
2013,92,0,8.0,MORTGAGE,Medium,105000,2,25000,36months,debt_consolidation,Low,0,7.62,A,20.72,21024,18198.23,0,779.04,ulster
2011,1037,1645,10.0,MORTGAGE,Low,85000,1,30000,60months,credit_card,High,1,16.77,E,7.1,9584,1312.62,6628,741.88,ulster
2013,153,0,9.0,RENT,Low,51000,1,18200,60months,debt_consolidation,High,0,15.88,C,29.27,12801,7034.45,0,441.43,leinster
2013,122,396,5.0,MORTGAGE,Low,55000,1,24000,60months,credit_card,High,0,24.08,F,7.35,3074067949,24000.0,0,691.55,ulster
2009,1736,1857,2.0,MORTGAGE,Low,50000,1,15000,36months,small_business,High,1,16.0,E,7.92,8856,5211.82,440,527.36,leinster
2013,122,31,3.0,RENT,Low,55000,1,5000,36months,other,High,1,21.6,E,22.85,5810,4486.08,0,189.92,ulster
2013,92,31,3.0,OWN,Low,75000,1,33425,60months,debt_consolidation,High,0,23.1,E,14.13,24541,10023.65,0,944.19,ulster
2010,1310,1187,4.0,RENT,Low,15600,1,5275,36months,other,High,1,14.72,C,1.82,5005,3722.61,100,182.14,leinster
2011,1006,1126,3.0,RENT,Medium,130000,2,14000,36months,debt_consolidation,Low,0,10.37,B,9.29,15696,14000.0,0,454.18,Northern-Irl
2013,31,0,6.0,RENT,Low,32000,1,5000,36months,other,High,0,15.61,C,27.16,4371,3219.08,0,174.83,Northern-Irl
2011,884,1309,3.0,RENT,Low,72000,1,6000,36months,moving,High,0,16.49,D,18.2,6740,5999.99,0,212.4,Northern-Irl
2010,1280,883,0.5,RENT,Low,30000,1,2000,36months,educational,Low,0,10.75,B,10.04,2340,2000.0,0,65.25,leinster
2011,1006,1461,5.0,RENT,Low,53086,1,27600,60months,debt_consolidation,High,0,15.65,D,17.54,30363,27600.0,0,666.06,Northern-Irl
2013,153,0,5.0,OWN,Low,46000,1,9500,36months,debt_consolidation,High,0,13.68,C,19.54,9050,7042.22,0,323.22,Northern-Irl
2013,61,0,10.0,OWN,Low,42000,1,10000,36months,debt_consolidation,High,0,18.55,D,22.69,9471,6641.09,0,364.29,munster
2011,884,791,10.0,RENT,Low,49000,1,10000,36months,debt_consolidation,High,0,16.89,D,23.39,12550,10000.0,0,355.99,leinster
2013,122,31,10.0,RENT,Low,53000,1,18450,36months,credit_card,Low,0,9.71,B,10.91,16004,13322.83,0,592.83,ulster
2008,2192,2160,10.0,RENT,Low,62000,1,11000,36months,car,Low,0,8.07,A,14.07,12246,11000.0,0,345.06,ulster
2013,92,487,5.0,RENT,Low,44289,1,8000,36months,debt_consolidation,High,1,18.55,D,19.5,4072,1994.95,866,291.44,ulster
2011,823,426,10.0,RENT,Low,54000,1,10000,36months,small_business,Low,0,8.9,A,6.49,11400000000,10000.0,0,317.54,cannught
2010,1461,2071,5.0,RENT,Low,19500,1,7800,36months,educational,High,1,14.26,C,15.45,1129,529.6,328,267.59,cannught
2013,122,92,8.0,MORTGAGE,Low,75400,1,13200,36months,debt_consolidation,High,0,20.2,D,21.47,17140,13200.0,0,491.91,leinster
2011,823,426,7.0,MORTGAGE,Low,75000,1,8000,36months,credit_card,High,0,16.29,D,11.9,10200000000,8000.0,0,282.41,leinster
2013,31,0,7.0,MORTGAGE,Medium,140000,2,12175,36months,debt_consolidation,High,0,17.57,D,11.32,10938,7759.43,0,437.54,munster
2011,976,31,5.0,MORTGAGE,Low,35000,1,9000,60months,debt_consolidation,High,0,17.49,D,14.74,12384,7891.99,0,226.06,cannught
2013,92,0,10.0,MORTGAGE,Low,82000,1,12000,36months,credit_card,High,0,16.2,C,16.49,11423,8437.3,0,423.08,cannught
2013,153,365,10.0,RENT,Low,50000,1,10000,36months,debt_consolidation,Low,0,11.55,B,9.89,11300000000,10000.0,0,330.0,ulster
2013,122,31,10.0,RENT,Low,85000,1,35000,36months,debt_consolidation,High,0,15.61,C,16.67,43395,35000.0,0,1223.77,ulster
2009,1706,1826,10.0,MORTGAGE,Low,52000,1,3000,36months,credit_card,Low,0,9.63,A,12.0,3353,3000.0,0,96.29,cannught
2008,2101,2222,1.0,OTHER,Low,23826,1,600,36months,other,High,1,17.66,G,26.89,445,292.19,17,21.59,ulster
2013,31,122,7.0,MORTGAGE,Low,30000,1,6075,36months,medical,High,1,22.9,E,12.96,4931,3036.51,0,234.85,leinster
2011,1065,1126,8.0,RENT,Low,75000,1,12000,36months,other,Low,0,6.92,A,24.93,13075,12000.02,0,370.09,Northern-Irl
2013,153,0,10.0,RENT,Low,45000,1,13250,36months,debt_consolidation,Low,0,12.35,B,22.12,12822,10273.66,0,442.31,leinster
2010,1188,1187,3.0,RENT,Low,32960,1,15000,36months,debt_consolidation,Low,0,6.91,A,19.88,11710,10700.0,0,329.95,cannught
2013,31,0,1.0,RENT,Low,40000,1,7000,36months,other,High,0,13.98,C,8.16,5978,4543.44,0,239.18,Northern-Irl
2013,61,0,7.0,OWN,Low,50000,1,12500,60months,debt_consolidation,High,0,17.1,C,14.21,8093,4156.15,0,311.33,cannught
2013,61,0,1.0,RENT,Low,65000,1,10000,36months,credit_card,Low,0,8.9,A,6.78,8256,6950.68,0,317.54,ulster
2013,31,0,4.0,MORTGAGE,Low,65000,1,13000,60months,debt_consolidation,High,0,20.2,D,26.11,8645,3907.9,0,345.87,leinster
2010,1249,640,7.0,MORTGAGE,Low,50000,1,6000,60months,debt_consolidation,Low,0,7.88,A,1.08,7157715799,6000.0,0,121.32,leinster
2010,1310,1370,1.0,MORTGAGE,Low,22800,1,8000,60months,debt_consolidation,High,0,20.16,G,11.26,10506,8000.0,0,212.67,munster
2010,1341,975,3.0,RENT,Low,60000,1,14000,36months,credit_card,High,0,13.48,C,16.4,17086,14000.01,0,474.96,ulster
2013,61,0,10.0,MORTGAGE,Low,52000,1,9000,36months,debt_consolidation,Low,0,7.62,A,13.41,7436,6438.1,0,280.46,Northern-Irl
2009,1826,1795,1.0,RENT,Low,28968,1,5000,36months,debt_consolidation,Low,0,13.16,C,23.12,5941,4999.99,0,168.86,leinster
